"pvalue"	"names"	"class"
"64"	1.9524490273862e-294	"cg00636527"	"9_1_6"
"65"	4.36169751787511e-289	"cg00682002"	"9_1_11"
"66"	3.80541376782229e-271	"cg00654637"	"9_1_3"
"67"	2.82034047119421e-268	"cg00673286"	"9_1_2"
"68"	2.00761048486953e-253	"cg00676833"	"9_1_1"
"69"	4.74163250176628e-241	"cg00665374"	"9_1_8"
"70"	1.33352888533028e-233	"cg00698535"	"9_1_7"
"71"	4.67380609159612e-217	"cg00666105"	"9_1_10"
"72"	4.86924928089266e-153	"cg00678239"	"9_1_5"
"73"	0	"cg00739667"	"10_1_7"
"74"	0	"cg00747160"	"10_1_8"
"75"	4.25646809003465e-297	"cg00715047"	"10_1_2"
"76"	6.82858395437416e-281	"cg00742851"	"10_1_10"
"77"	7.49438176235066e-274	"cg00737978"	"10_1_5"
"78"	1.60996079557678e-271	"cg00743788"	"10_1_12"
"79"	3.31607226463533e-265	"cg00738345"	"10_1_9"
"80"	5.06848749342681e-243	"cg00760203"	"10_1_11"
"81"	1.59121105396399e-229	"cg00785620"	"10_1_6"
"82"	3.74985460153596e-204	"cg00750225"	"10_1_4"
"83"	2.12650810544858e-197	"cg00784105"	"10_1_1"
"84"	5.77336127885599e-191	"cg00713294"	"10_1_3"
"85"	0	"cg00820740"	"11_1_2"
"86"	4.06717542880925e-298	"cg00851154"	"11_1_5"
"87"	1.44714806003429e-279	"cg00821483"	"11_1_3"
"88"	7.12370947470001e-276	"cg00790020"	"11_1_1"
"89"	4.79426851193763e-271	"cg00814751"	"11_1_6"
"90"	1.88581633882055e-263	"cg00833562"	"11_1_4"
"91"	0	"cg00898447"	"12_1_1"
"92"	0	"cg00909401"	"12_1_1"
"93"	3.3107845787011e-307	"cg00948250"	"12_1_5"
"94"	6.34198229181792e-301	"cg00931843"	"12_1_2"
"95"	2.19052829648483e-294	"cg00900231"	"12_1_3"
"96"	3.55295500806946e-263	"cg00917156"	"12_1_6"
"97"	3.47794055945436e-230	"cg00880157"	"12_1_4"
"98"	3.42736511467547e-197	"cg00901161"	"12_1_7"
"99"	6.45150778878123e-308	"cg01003448"	"13_1_10"
"100"	2.48898956614313e-299	"cg00980804"	"13_1_4"
"101"	5.5717802790478e-289	"cg00994643"	"13_1_2"
"102"	2.35336271701934e-285	"cg01007345"	"13_1_3"
"103"	3.9791364054371e-266	"cg00987534"	"13_1_5"
"104"	1.01314864955002e-263	"cg01009920"	"13_1_8"
"105"	4.57518498438772e-256	"cg00956142"	"13_1_7"
"106"	2.07347536267792e-253	"cg00988350"	"13_1_1"
"107"	1.19115912356901e-242	"cg00962304"	"13_1_9"
"108"	6.65839156142283e-234	"cg00958560"	"13_1_6"
"109"	0	"cg01063813"	"14_1_2"
"110"	1.66364749638273e-261	"cg01087195"	"14_1_3"
"111"	5.60089198893841e-256	"cg01070161"	"14_1_1"
"112"	3.93124946449757e-246	"cg01075559"	"14_1_4"
"113"	3.92590864066424e-304	"cg01174771"	"15_1_5"
"114"	2.29554451098494e-289	"cg01133779"	"15_1_9"
"115"	1.57598881491475e-285	"cg01156295"	"15_1_7"
"116"	3.51611194266947e-284	"cg01136458"	"15_1_1"
"117"	2.19389620151592e-271	"cg01150411"	"15_1_6"
"118"	1.81072125975175e-270	"cg01142676"	"15_1_2"
"119"	2.36188913662661e-263	"cg01119072"	"15_1_10"
"120"	3.17781811228921e-246	"cg01138530"	"15_1_4"
"121"	4.78146083835194e-212	"cg01130273"	"15_1_8"
"122"	1.04281912364117e-209	"cg01148741"	"15_1_3"
"123"	0	"cg01195246"	"16_1_4"
"124"	0	"cg01234984"	"16_1_1"
"125"	9.83990061625566e-291	"cg01240931"	"16_1_7"
"126"	5.66787648266432e-290	"cg01275887"	"16_1_5"
"127"	5.31163792424157e-279	"cg01233897"	"16_1_8"
"128"	2.04273999240237e-266	"cg01205011"	"16_1_6"
"129"	8.86511685807839e-258	"cg01267150"	"16_1_9"
"130"	1.95284980174453e-251	"cg01214340"	"16_1_2"
"131"	8.96785432947829e-209	"cg01226614"	"16_1_3"
"132"	2.24948052983066e-303	"cg01342926"	"17_1_3"
"133"	3.35293715972752e-300	"cg01318461"	"17_1_4"
"134"	1.1079979705714e-289	"cg01279418"	"17_1_1"
"135"	1.01565438286335e-281	"cg01312665"	"17_1_2"
"136"	9.93931393854487e-300	"cg01440489"	"18_1_10"
"137"	8.32962552273483e-293	"cg01409887"	"18_1_7"
"138"	2.49525251029101e-291	"cg01402255"	"18_1_3"
"139"	7.41246341759098e-287	"cg01388889"	"18_1_5"
"140"	2.19752557503088e-282	"cg01410876"	"18_1_8"
"141"	6.66927707445719e-281	"cg01368075"	"18_1_11"
"142"	1.43953734008079e-267	"cg01409343"	"18_1_2"
"143"	3.74438089150466e-261	"cg01418124"	"18_1_9"
"144"	4.49310705722201e-251	"cg01414728"	"18_1_1"
"145"	4.20484637517399e-242	"cg01417849"	"18_1_4"
"146"	4.03366168770776e-229	"cg01401824"	"18_1_6"
"147"	0	"cg01490004"	"19_1_16"
"148"	0	"cg01467532"	"19_1_6"
"149"	7.8667326315403e-304	"cg01517968"	"19_1_15"
"150"	4.65496300129453e-283	"cg01459807"	"19_1_14"
"151"	1.1511902535803e-274	"cg01444574"	"19_1_13"
"152"	5.60393545462908e-267	"cg01517740"	"19_1_11"
"153"	2.22764399199556e-248	"cg01509330"	"19_1_9"
"154"	2.41786532159653e-215	"cg01455366"	"19_1_1"
"155"	9.76703114871807e-214	"cg01523881"	"19_1_7"
"156"	3.68918835024471e-209	"cg01485010"	"19_1_8"
"157"	1.90812487924929e-206	"cg01454639"	"19_1_2"
"158"	3.69221678687732e-205	"cg01493728"	"19_1_12"
"159"	5.58505490033155e-204	"cg01472113"	"19_1_4"
"160"	2.12562874374062e-180	"cg01518465"	"19_1_5"
"161"	4.23284911295546e-174	"cg01491219"	"19_1_10"
"162"	5.51773517023665e-167	"cg01520463"	"19_1_3"
"163"	4.51111798708444e-304	"cg01541443"	"20_1_3"
"164"	3.48813885835853e-300	"cg01535630"	"20_1_1"
"165"	4.02451091180376e-268	"cg01551013"	"20_1_2"
"166"	6.16283471500993e-300	"cg01643712"	"21_1_7"
"167"	1.69179507128381e-287	"cg01697163"	"21_1_1"
"168"	1.26802644007146e-269	"cg01650245"	"21_1_4"
"169"	2.70133950133413e-257	"cg01631319"	"21_1_3"
"170"	1.5980932939523e-253	"cg01670771"	"21_1_2"
"171"	1.61459728491635e-253	"cg01706824"	"21_1_5"
"172"	6.04475729239013e-208	"cg01630690"	"21_1_6"
"173"	0	"cg01723031"	"22_1_6"
"174"	1.66085095800233e-299	"cg01731783"	"22_1_4"
"175"	2.75336599759832e-263	"cg01723892"	"22_1_10"
"176"	1.33900141421323e-260	"cg01715384"	"22_1_2"
"177"	1.43943940789316e-259	"cg01781725"	"22_1_3"
"178"	3.34864803357611e-258	"cg01726775"	"22_1_8"
"179"	8.81239070360274e-257	"cg01780164"	"22_1_5"
"180"	1.64671095123464e-256	"cg01770019"	"22_1_1"
"181"	1.08976552081239e-251	"cg01776278"	"22_1_9"
"182"	1.02291826739659e-246	"cg01780109"	"22_1_7"
"183"	0	"cg01868729"	"23_1_4"
"184"	1.8172913281937e-297	"cg01869219"	"23_1_3"
"185"	4.77948680793371e-273	"cg01821684"	"23_1_2"
"186"	4.00540567197317e-264	"cg01808969"	"23_1_1"
"187"	4.86254458263163e-256	"cg01856970"	"23_1_5"
"188"	5.475370368514e-287	"cg01921323"	"24_1_7"
"189"	9.35999269501659e-284	"cg01937809"	"24_1_9"
"190"	5.16567522525491e-282	"cg01935096"	"24_1_6"
"191"	4.3425928194059e-278	"cg01934781"	"24_1_3"
"192"	5.66833314757689e-275	"cg01933709"	"24_1_2"
"193"	4.20245222885451e-272	"cg01918043"	"24_1_5"
"194"	6.50262407933644e-250	"cg01877606"	"24_1_10"
"195"	3.27463137033931e-222	"cg01947949"	"24_1_1"
"196"	4.33957037494839e-202	"cg01914153"	"24_1_4"
"197"	1.85724255864442e-181	"cg01899797"	"24_1_8"
"198"	0	"cg02028332"	"25_1_3"
"199"	2.09667416211956e-296	"cg01953156"	"25_1_1"
"200"	2.09873103886248e-290	"cg01955533"	"25_1_7"
"201"	5.23110318830016e-285	"cg01992765"	"25_1_2"
"202"	7.95864330634346e-273	"cg01972009"	"25_1_8"
"203"	6.4320472977197e-270	"cg01962821"	"25_1_5"
"204"	1.18615529888598e-250	"cg01983105"	"25_1_6"
"205"	1.82115134155697e-231	"cg02010342"	"25_1_4"
"206"	1.61293027806327e-292	"cg02076355"	"26_1_15"
"207"	3.84769451942548e-284	"cg02097309"	"26_1_17"
"208"	5.78722825836446e-281	"cg02043070"	"26_1_11"
"209"	6.02827522887766e-270	"cg02039404"	"26_1_12"
"210"	9.35091487287383e-267	"cg02076020"	"26_1_4"
"211"	1.89634340821119e-263	"cg02072495"	"26_1_18"
"212"	1.94727451467205e-262	"cg02056921"	"26_1_13"
"213"	3.23150357074438e-262	"cg02085507"	"26_1_9"
"214"	1.92472603973385e-259	"cg02052774"	"26_1_16"
"215"	1.21010146852068e-245	"cg02058624"	"26_1_14"
"216"	2.01287409610727e-234	"cg02033582"	"26_1_7"
"217"	6.65655731701765e-223	"cg02062409"	"26_1_10"
"218"	2.54922036586457e-222	"cg02055353"	"26_1_6"
"219"	5.82422030358883e-215	"cg02061820"	"26_1_3"
"220"	6.41647245035023e-207	"cg02080909"	"26_1_5"
"221"	2.97298676295101e-199	"cg02079831"	"26_1_8"
"222"	1.55285273166133e-169	"cg02052956"	"26_1_2"
"223"	1.37325443163101e-138	"cg02044051"	"26_1_1"
"224"	0	"cg02184918"	"27_1_14"
"225"	1.53680412757718e-298	"cg02154436"	"27_1_3"
"226"	3.7805978932303e-294	"cg02192555"	"27_1_7"
"227"	2.40069004746358e-287	"cg02155796"	"27_1_12"
"228"	2.62252754811412e-286	"cg02122525"	"27_1_8"
"229"	3.02236010017605e-286	"cg02138198"	"27_1_9"
"230"	2.43176045605447e-279	"cg02183564"	"27_1_1"
"231"	4.89396964344373e-260	"cg02145310"	"27_1_4"
"232"	9.09377167450037e-250	"cg02184644"	"27_1_11"
"233"	1.03075315666184e-243	"cg02188048"	"27_1_13"
"234"	2.26115806171083e-222	"cg02194684"	"27_1_5"
"235"	2.9648447686852e-216	"cg02157872"	"27_1_10"
"236"	3.64983980926774e-198	"cg02194223"	"27_1_2"
"237"	1.52487577979317e-147	"cg02182272"	"27_1_6"
"238"	0	"cg02225988"	"28_1_9"
"239"	0	"cg02207944"	"28_1_3"
"240"	4.82484667154778e-279	"cg02225085"	"28_1_5"
"241"	4.65170344318356e-278	"cg02209075"	"28_1_8"
"242"	8.58564879020013e-278	"cg02270010"	"28_1_7"
"243"	3.1853212761264e-269	"cg02253701"	"28_1_4"
"244"	3.5601112881476e-264	"cg02202169"	"28_1_2"
"245"	5.94848273766968e-256	"cg02250548"	"28_1_1"
"246"	2.30411826448004e-246	"cg02273041"	"28_1_6"
"247"	7.22509674249806e-295	"cg02312706"	"29_1_14"
"248"	1.45276817342137e-286	"cg02332206"	"29_1_3"
"249"	1.46077049316825e-281	"cg02341197"	"29_1_17"
"250"	1.53842779115845e-277	"cg02344361"	"29_1_11"
"251"	4.74327003499187e-272	"cg02294764"	"29_1_20"
"252"	2.49747480294674e-270	"cg02291020"	"29_1_24"
"253"	4.25483787152158e-270	"cg02297801"	"29_1_25"
"254"	6.88194675995632e-269	"cg02296478"	"29_1_9"
"255"	2.65745109736285e-263	"cg02294791"	"29_1_7"
"256"	4.97580655342075e-253	"cg02317299"	"29_1_16"
"257"	5.14308415907303e-249	"cg02307277"	"29_1_19"
"258"	4.8443247846378e-246	"cg02309355"	"29_1_22"
"259"	5.54766290093552e-246	"cg02305353"	"29_1_4"
"260"	4.58916309611222e-243	"cg02307880"	"29_1_12"
"261"	4.09196085989468e-242	"cg02299940"	"29_1_23"
"262"	1.92562601498021e-241	"cg02330500"	"29_1_6"
"263"	2.90996246219109e-239	"cg02319094"	"29_1_18"
"264"	1.74020059246986e-230	"cg02359773"	"29_1_10"
"265"	7.30655652001542e-229	"cg02346141"	"29_1_15"
"266"	6.07001858864609e-228	"cg02346342"	"29_1_13"
"267"	1.55744044400407e-212	"cg02326224"	"29_1_21"
"268"	1.1921818468483e-203	"cg02297967"	"29_1_1"
"269"	5.24591327664145e-195	"cg02352240"	"29_1_8"
"270"	1.28249255717837e-183	"cg02363202"	"29_1_2"
"271"	1.57168481970062e-170	"cg02320481"	"29_1_5"
"272"	1.7939339346928e-306	"cg02380334"	"30_1_8"
"273"	1.6093061976611e-298	"cg02390515"	"30_1_2"
"274"	2.51794273071312e-290	"cg02383626"	"30_1_3"
"275"	2.89433101717892e-290	"cg02429905"	"30_1_9"
"276"	1.03547235696006e-289	"cg02392553"	"30_1_6"
"277"	1.33285182336699e-268	"cg02381965"	"30_1_7"
"278"	1.21305450595952e-255	"cg02452966"	"30_1_1"
"279"	4.31500315193374e-212	"cg02374294"	"30_1_4"
"280"	1.15240775208686e-204	"cg02378673"	"30_1_5"
"281"	0	"cg02498072"	"1_2_5"
"282"	7.42490319695979e-298	"cg02525822"	"1_2_1"
"283"	1.80347270942651e-271	"cg02491905"	"1_2_6"
"284"	1.05307822977962e-265	"cg02516944"	"1_2_3"
"285"	7.24810062402025e-241	"cg02515217"	"1_2_2"
"286"	7.7910448774043e-221	"cg02458188"	"1_2_4"
"287"	0	"cg02547426"	"2_2_1"
"288"	0	"cg02587606"	"2_2_2"
"289"	0	"cg02619656"	"3_2_1"
"290"	1.31820033000321e-287	"cg02697979"	"3_2_2"
"291"	2.35478476039983e-307	"cg02713960"	"4_2_2"
"292"	1.23514809383554e-304	"cg02712949"	"4_2_1"
"293"	4.84066283720027e-283	"cg02770857"	"4_2_3"
"294"	7.14586009369194e-292	"cg02857325"	"5_2_3"
"295"	2.16192544132728e-267	"cg02860602"	"5_2_1"
"296"	2.92613299904102e-258	"cg02839123"	"5_2_2"
"297"	0	"cg02914800"	"6_2_4"
"298"	3.56340774152697e-306	"cg02923047"	"6_2_5"
"299"	4.41975986670455e-302	"cg02915939"	"6_2_7"
"300"	1.57979817209963e-287	"cg02938926"	"6_2_1"
"301"	1.02782405318579e-274	"cg02926033"	"6_2_3"
"302"	5.98219295062732e-273	"cg02904800"	"6_2_2"
"303"	6.1024045039904e-249	"cg02909793"	"6_2_6"
"304"	6.61601680578255e-308	"cg02958327"	"7_2_2"
"305"	8.60471600036538e-300	"cg02957469"	"7_2_3"
"306"	2.2022340529295e-290	"cg03001333"	"7_2_1"
"307"	0	"cg03061518"	"8_2_1"
"308"	1.77390012164428e-306	"cg03085712"	"8_2_3"
"309"	2.69663699766502e-298	"cg03092551"	"8_2_2"
"310"	4.11690550291596e-290	"cg03190267"	"9_2_2"
"311"	7.74672341610106e-289	"cg03124636"	"9_2_4"
"312"	1.70696292251098e-286	"cg03135535"	"9_2_5"
"313"	6.13878369129993e-269	"cg03148231"	"9_2_3"
"314"	7.09676430966857e-239	"cg03143697"	"9_2_1"
"315"	0	"cg03278299"	"10_2_2"
"316"	0	"cg03265991"	"10_2_1"
"317"	5.29011819249582e-278	"cg03210866"	"10_2_5"
"318"	8.89312591621256e-278	"cg03227338"	"10_2_4"
"319"	2.95493893693898e-269	"cg03257417"	"10_2_3"
"320"	2.44307567988802e-307	"cg03349020"	"11_2_3"
"321"	1.05445482379682e-298	"cg03359508"	"11_2_2"
"322"	1.79763973458821e-281	"cg03303433"	"11_2_1"
"323"	7.10229874590031e-303	"cg03422651"	"12_2_3"
"324"	5.43712715147533e-281	"cg03434780"	"12_2_1"
"325"	2.62059596202161e-273	"cg03411979"	"12_2_4"
"326"	4.82717079366369e-230	"cg03454225"	"12_2_2"
"327"	2.80158590970198e-302	"cg03494430"	"13_2_1"
"328"	3.56662428840948e-285	"cg03504245"	"13_2_5"
"329"	5.58186652823978e-285	"cg03523630"	"13_2_4"
"330"	4.70424309333123e-284	"cg03539970"	"13_2_6"
"331"	6.44122620075152e-278	"cg03524630"	"13_2_9"
"332"	6.50357656557621e-259	"cg03495498"	"13_2_3"
"333"	1.67594893278962e-247	"cg03532926"	"13_2_7"
"334"	6.08403637185986e-235	"cg03464392"	"13_2_2"
"335"	2.1087254922074e-215	"cg03506609"	"13_2_8"
"336"	6.11564612896554e-303	"cg03585969"	"14_2_4"
"337"	1.80162539586395e-295	"cg03551062"	"14_2_1"
"338"	3.48555281740476e-283	"cg03614442"	"14_2_6"
"339"	1.80749331777141e-280	"cg03579179"	"14_2_3"
"340"	6.22124677010986e-267	"cg03595886"	"14_2_5"
"341"	3.44648847781829e-254	"cg03577250"	"14_2_2"
"342"	2.06995375954603e-301	"cg03673694"	"15_2_3"
"343"	9.87734123423519e-297	"cg03650282"	"15_2_5"
"344"	9.19702194763066e-279	"cg03641066"	"15_2_6"
"345"	9.31950015863909e-275	"cg03702533"	"15_2_7"
"346"	2.57888614090521e-271	"cg03689092"	"15_2_1"
"347"	3.87442975973955e-257	"cg03648155"	"15_2_2"
"348"	3.59932718253575e-232	"cg03654783"	"15_2_4"
"349"	4.30388779630925e-304	"cg03722909"	"16_2_7"
"350"	1.77962162838744e-301	"cg03776878"	"16_2_3"
"351"	6.24704877682758e-297	"cg03723716"	"16_2_9"
"352"	9.5544366724237e-266	"cg03785303"	"16_2_2"
"353"	4.54403455519022e-259	"cg03719128"	"16_2_4"
"354"	1.20117237055043e-249	"cg03716591"	"16_2_1"
"355"	1.20293714852695e-242	"cg03780561"	"16_2_5"
"356"	1.61328724997381e-228	"cg03725573"	"16_2_6"
"357"	3.70400832678208e-215	"cg03729508"	"16_2_8"
"358"	8.73938676905639e-307	"cg03803102"	"17_2_8"
"359"	6.38841179161717e-304	"cg03881351"	"17_2_9"
"360"	6.01838536387254e-296	"cg03861097"	"17_2_7"
"361"	1.67462290909384e-288	"cg03803086"	"17_2_1"
"362"	2.00392928685102e-284	"cg03825488"	"17_2_5"
"363"	4.12826297289059e-282	"cg03887438"	"17_2_10"
"364"	8.67323791787216e-279	"cg03871267"	"17_2_2"
"365"	4.5554748029477e-258	"cg03861143"	"17_2_11"
"366"	4.4044499647008e-218	"cg03859915"	"17_2_3"
"367"	7.18927951646454e-218	"cg03838635"	"17_2_6"
"368"	1.07528727033037e-200	"cg03801912"	"17_2_4"
"369"	0	"cg03944099"	"18_2_9"
"370"	4.11287636287629e-303	"cg03918313"	"18_2_4"
"371"	8.71006722397267e-292	"cg03959306"	"18_2_7"
"372"	1.08717955861371e-287	"cg03908534"	"18_2_10"
"373"	2.48214557719993e-273	"cg03954048"	"18_2_6"
"374"	3.30200340760301e-267	"cg03950371"	"18_2_8"
"375"	4.30900871279973e-262	"cg03893446"	"18_2_5"
"376"	1.00430717670099e-256	"cg03958883"	"18_2_3"
"377"	2.39331381949284e-254	"cg03893395"	"18_2_1"
"378"	3.49391975595465e-253	"cg03898010"	"18_2_2"
"379"	5.49849418169861e-305	"cg04005677"	"19_2_4"
"380"	1.56985903125089e-295	"cg04018474"	"19_2_6"
"381"	7.03580226141718e-294	"cg03984209"	"19_2_8"
"382"	1.56172581812502e-286	"cg04012931"	"19_2_3"
"383"	4.10599982387789e-284	"cg04007987"	"19_2_2"
"384"	7.109642049364e-279	"cg04037970"	"19_2_7"
"385"	7.38403257495511e-273	"cg04008913"	"19_2_11"
"386"	6.98523345412484e-271	"cg03997296"	"19_2_9"
"387"	7.48549790351247e-241	"cg04017518"	"19_2_1"
"388"	1.03343284964605e-221	"cg04015777"	"19_2_5"
"389"	4.14512182366777e-214	"cg03981535"	"19_2_10"
"390"	0	"cg04073934"	"20_2_7"
"391"	0	"cg04109067"	"20_2_2"
"392"	0	"cg04070692"	"20_2_3"
"393"	0	"cg04089246"	"20_2_12"
"394"	2.26663752601605e-305	"cg04074001"	"20_2_9"
"395"	2.12004036512635e-287	"cg04130507"	"20_2_4"
"396"	1.63095970618822e-272	"cg04130549"	"20_2_11"
"397"	8.35050534127822e-263	"cg04104463"	"20_2_5"
"398"	5.28976782706268e-254	"cg04112211"	"20_2_8"
"399"	4.11728797778024e-243	"cg04071516"	"20_2_6"
"400"	1.42660467051503e-233	"cg04119678"	"20_2_1"
"401"	1.41321078438028e-232	"cg04084295"	"20_2_10"
"402"	3.21748728372855e-297	"cg04210566"	"21_2_1"
"403"	2.28878971910861e-291	"cg04188862"	"21_2_2"
"404"	1.0871698786379e-285	"cg04147497"	"21_2_3"
"405"	7.01827370945063e-278	"cg04194674"	"21_2_4"
"406"	1.03788436721696e-264	"cg04152767"	"21_2_7"
"407"	2.57364229635666e-259	"cg04181189"	"21_2_8"
"408"	4.04260720886656e-256	"cg04176995"	"21_2_9"
"409"	3.82334098847697e-240	"cg04174124"	"21_2_10"
"410"	8.75349476380566e-219	"cg04166304"	"21_2_5"
"411"	1.93644054108557e-214	"cg04192867"	"21_2_6"
"412"	0	"cg04314308"	"22_2_3"
"413"	0	"cg04246521"	"22_2_2"
"414"	0	"cg04313875"	"22_2_2"
"415"	1.96086420102425e-282	"cg04254609"	"22_2_1"
"416"	4.56618238896886e-275	"cg04246526"	"22_2_5"
"417"	1.64766171967115e-271	"cg04313565"	"22_2_4"
"418"	0	"cg04316905"	"23_2_1"
"419"	2.06807242512158e-301	"cg04358246"	"23_2_8"
"420"	2.920531782102e-301	"cg04374711"	"23_2_12"
"421"	5.20442921483949e-300	"cg04383058"	"23_2_4"
"422"	1.03066528960258e-283	"cg04391313"	"23_2_6"
"423"	2.29175202663157e-274	"cg04330806"	"23_2_3"
"424"	9.97832550656772e-273	"cg04357789"	"23_2_7"
"425"	4.9910996326547e-264	"cg04362907"	"23_2_11"
"426"	1.67410952817295e-262	"cg04381888"	"23_2_10"
"427"	7.10012013530763e-255	"cg04336905"	"23_2_5"
"428"	2.66294103984341e-189	"cg04363282"	"23_2_9"
"429"	5.85416110499712e-176	"cg04391722"	"23_2_2"
"430"	0	"cg04406800"	"24_2_1"
"431"	0	"cg04461566"	"24_2_1"
"432"	1.17859593980244e-275	"cg04444771"	"24_2_2"
"433"	0	"cg04509682"	"25_2_1"
"434"	5.68175442348587e-296	"cg04571965"	"25_2_5"
"435"	4.28521806604332e-284	"cg04523661"	"25_2_3"
"436"	6.05265626535636e-272	"cg04550950"	"25_2_2"
"437"	1.00634586793695e-268	"cg04545963"	"25_2_6"
"438"	2.19646617291795e-203	"cg04501107"	"25_2_4"
"439"	6.4839781890844e-306	"cg04586407"	"26_2_4"
"440"	1.00239245478971e-297	"cg04665647"	"26_2_5"
"441"	7.70914454544296e-275	"cg04622541"	"26_2_1"
"442"	7.30666667972243e-272	"cg04642306"	"26_2_6"
"443"	3.43885623908815e-268	"cg04619304"	"26_2_2"
"444"	6.91251994503783e-264	"cg04659622"	"26_2_3"
"445"	1.02330595516231e-305	"cg04696780"	"27_2_1"
"446"	9.84957231751914e-297	"cg04693928"	"27_2_3"
"447"	5.31696210180868e-295	"cg04731544"	"27_2_5"
"448"	9.06313000049549e-289	"cg04689023"	"27_2_9"
"449"	1.2332009596643e-286	"cg04729004"	"27_2_4"
"450"	1.12888435376773e-283	"cg04680919"	"27_2_2"
"451"	2.79324937358676e-280	"cg04755848"	"27_2_10"
"452"	4.6909635479743e-267	"cg04684411"	"27_2_7"
"453"	6.03766686376764e-261	"cg04730685"	"27_2_8"
"454"	1.10300824745782e-215	"cg04678713"	"27_2_11"
"455"	3.28438310004572e-194	"cg04740665"	"27_2_6"
"456"	7.9271207054139e-292	"cg04768463"	"28_2_8"
"457"	2.03235299386744e-287	"cg04789495"	"28_2_4"
"458"	1.38832249735892e-283	"cg04792034"	"28_2_10"
"459"	6.80725356561348e-279	"cg04761824"	"28_2_5"
"460"	7.84589424542582e-278	"cg04827551"	"28_2_3"
"461"	5.64795319316914e-276	"cg04830757"	"28_2_2"
"462"	1.08767525335641e-275	"cg04794690"	"28_2_7"
